,county_fips,Geographic.Area.Name,Estimate..Aggregate.number.of.vehicles..car..truck..or.van..used.in.commuting,Estimate..INDUSTRY..Agriculture..forestry..fishing.and.hunting..and.mining,Estimate..INDUSTRY..Construction,Estimate..INDUSTRY..Manufacturing,Estimate..INDUSTRY..Wholesale.trade,Estimate..INDUSTRY..Retail.trade,Estimate..INDUSTRY..Transportation.and.warehousing..and.utilities,Estimate..INDUSTRY..Information,Estimate..INDUSTRY..Finance.and.insurance..and.real.estate.and.rental.and.leasing,Estimate..INDUSTRY..Professional..scientific..and.management..and.administrative.and.waste.management.services,Estimate..INDUSTRY..Educational.services..and.health.care.and.social.assistance,Estimate..INDUSTRY..Arts..entertainment..and.recreation..and.accommodation.and.food.services,Estimate..INDUSTRY..Public.administration,Estimate..SEX.AND.AGE..Total.population,Estimate..SEX.AND.AGE..Male,Estimate..SEX.AND.AGE..Female,Estimate..SEX.AND.AGE..Under.5.years,Estimate..SEX.AND.AGE..5.to.9.years,Estimate..SEX.AND.AGE..10.to.14.years,Estimate..SEX.AND.AGE..15.to.19.years,Estimate..SEX.AND.AGE..20.to.24.years,Estimate..SEX.AND.AGE..25.to.34.years,Estimate..SEX.AND.AGE..35.to.44.years,Estimate..SEX.AND.AGE..45.to.54.years,Estimate..SEX.AND.AGE..55.to.59.years,Estimate..SEX.AND.AGE..60.to.64.years,Estimate..SEX.AND.AGE..65.to.74.years,Estimate..SEX.AND.AGE..75.to.84.years,Estimate..SEX.AND.AGE..85.years.and.over,Estimate..RACE..White,Estimate..RACE..Black.or.African.American,Estimate..RACE..American.Indian.and.Alaska.Native,Estimate..RACE..Asian,Estimate..RACE..Native.Hawaiian.and.Other.Pacific.Islander,Estimate..RACE..Some.other.race,Estimate..HISPANIC.OR.LATINO.AND.RACE..Total.population,state.x,state_po,county_name,demVotes,repVotes,totalvotes,lat,long
11,1019,"Cherokee County, Alabama",8795,274,907,2190,301,1246,710,88,327,360,2326,497,395,25917,12748,13169,1424,1382,1574,1561,1473,2656,3202,3972,2302,1679,2960,1351,381,24322,1384,302,86,5,88,25917,ALABAMA,AL,CHEROKEE,2132,7647,9779,34.17805983,-85.60638968
12,1021,"Chilton County, Alabama",15530,470,2457,2424,686,2282,1635,189,1022,886,2605,1067,1314,43611,21490,22121,2990,2851,3172,2896,2757,5614,5970,6074,2866,2438,3518,1856,609,38186,4468,279,151,0,868,43611,ALABAMA,AL,CHILTON,13932,3530,17462,32.85044126,-86.7173256
13,1021,"Chilton County, Alabama",15530,470,2457,2424,686,2282,1635,189,1022,886,2605,1067,1314,43611,21490,22121,2990,2851,3172,2896,2757,5614,5970,6074,2866,2438,3518,1856,609,38186,4468,279,151,0,868,43611,ALABAMA,AL,CHILTON,3397,14065,17462,32.85044126,-86.7173256
14,1023,"Choctaw County, Alabama",3725,347,531,822,101,508,163,32,112,163,1057,199,215,13838,6696,7142,761,725,1049,983,703,1294,1676,2106,857,1117,1468,741,358,7816,5980,112,30,0,76,13838,ALABAMA,AL,CHOCTAW,4152,3816,7968,32.02227341,-88.2656443
15,1025,"Clarke County, Alabama",7750,219,713,1745,90,1404,479,80,490,271,1826,440,452,25768,12181,13587,1517,1438,2174,1970,1455,2684,3279,3827,1825,1441,2361,1264,533,14062,11473,272,94,0,47,25768,ALABAMA,AL,CLARKE,7470,6381,13851,31.68099859,-87.83548597
16,1027,"Clay County, Alabama",4295,258,415,1500,57,382,332,76,138,135,1019,203,598,13828,6786,7042,819,713,1097,811,715,1559,1911,1908,898,929,1358,778,332,11523,2220,148,5,0,128,13828,ALABAMA,AL,CLAY,4817,1845,6662,33.26984193,-85.85836077
17,1029,"Cleburne County, Alabama",4930,285,657,1047,186,952,207,74,195,291,1100,253,284,14905,7327,7578,947,921,1080,1001,783,1648,2037,2099,933,1040,1424,783,209,14259,644,163,0,0,33,14905,ALABAMA,AL,CLEBURNE,5272,1033,6305,33.67679204,-85.52005899
18,1031,"Coffee County, Alabama",18355,635,1095,2167,479,2802,1173,215,962,1287,4215,1554,1886,49966,24676,25290,3386,2926,3712,3205,3328,6343,6850,6866,3334,2745,4057,2348,866,39826,8944,1134,962,39,423,49966,ALABAMA,AL,COFFEE,4925,14845,19770,31.39932826,-85.98901039
19,1033,"Colbert County, Alabama",20015,454,1657,3946,803,2591,1586,262,1040,1495,4667,1653,943,54451,26164,28287,3093,3270,3427,3655,3070,6040,7030,8115,3827,3437,5260,3122,1105,44545,9196,637,348,12,557,54451,ALABAMA,AL,COLBERT,9166,14219,23385,34.69847452,-87.80168544
20,1035,"Conecuh County, Alabama",3530,186,307,923,84,338,282,21,59,100,858,190,299,13188,6430,6758,763,736,932,917,910,1205,1436,1941,1037,903,1388,724,296,6844,6265,252,12,0,0,13188,ALABAMA,AL,CONECUH,3555,3467,7022,31.43401703,-86.99320044
21,1037,"Coosa County, Alabama",3765,129,379,1430,23,332,257,0,94,308,661,348,251,11305,5761,5544,543,650,630,679,650,1064,1560,1827,1022,749,1129,622,180,7731,3586,63,0,0,9,11305,ALABAMA,AL,COOSA,2191,3078,5269,32.93690146,-86.24847739
22,1039,"Covington County, Alabama",12820,973,1317,2406,415,2081,1031,130,592,889,2967,678,784,37803,18325,19478,2263,2228,2483,2497,2122,3992,4555,5467,2612,2461,3859,2420,844,32455,4927,409,205,35,258,37803,ALABAMA,AL,COVINGTON,3158,12265,15423,31.2477854,-86.45050893
23,1039,"Covington County, Alabama",12820,973,1317,2406,415,2081,1031,130,592,889,2967,678,784,37803,18325,19478,2263,2228,2483,2497,2122,3992,4555,5467,2612,2461,3859,2420,844,32455,4927,409,205,35,258,37803,ALABAMA,AL,COVINGTON,12153,3270,15423,31.2477854,-86.45050893
24,1041,"Crenshaw County, Alabama",4970,487,453,913,357,562,402,78,223,323,1071,305,464,13971,6809,7162,902,900,931,940,821,1428,1892,2072,862,996,1203,759,265,10506,3390,130,230,0,79,13971,ALABAMA,AL,CRENSHAW,4331,2087,6418,31.72941803,-86.31593104
25,1043,"Cullman County, Alabama",28290,1042,2894,5765,1025,4124,1805,544,1593,1937,6969,2362,1269,80403,39849,40554,4920,5288,5227,5238,4811,9665,10197,11802,5175,5144,7443,4117,1376,78287,1292,1060,420,45,546,80403,ALABAMA,AL,CULLMAN,28999,5458,34457,34.13020303,-86.86888037
26,1045,"Dale County, Alabama",18970,397,1412,1967,451,2214,2293,259,754,1382,3903,1955,1779,50129,24827,25302,3643,3566,3228,3192,3480,7288,6157,6767,3343,2614,3968,2072,811,38901,10510,763,871,134,414,50129,ALABAMA,AL,DALE,13108,5449,18557,31.43037123,-85.61095742
27,1047,"Dallas County, Alabama",11975,459,903,2716,330,1483,632,220,430,655,3090,733,1078,43572,20042,23530,3197,3565,2780,3294,2827,4919,4972,6420,2633,2823,3505,1774,863,12917,30373,243,196,36,196,43572,ALABAMA,AL,DALLAS,6288,14665,20953,32.32688101,-87.1086671
28,1049,"DeKalb County, Alabama",24600,1104,1580,7836,860,3514,1429,246,983,1538,4601,1814,888,70949,34974,35975,4979,4950,5197,4886,4096,9070,9293,9850,4215,4449,5831,3129,1004,66289,1588,2221,252,5,2193,70949,ALABAMA,AL,DEKALB,5239,18624,23863,34.45946862,-85.80782906
29,1051,"Elmore County, Alabama",30830,219,2720,4324,918,3782,1723,411,1955,3221,7056,2357,4133,79330,38822,40508,4864,5281,5146,5667,5282,10483,11492,12059,5403,4123,5795,2575,1160,61283,16756,726,769,0,1183,79330,ALABAMA,AL,ELMORE,8954,26531,35485,32.59785413,-86.14415284
30,1053,"Escambia County, Alabama",10885,393,1230,1810,163,1640,675,221,497,612,2697,1102,905,38122,19686,18436,2323,2144,2692,2686,2047,5125,5068,5495,2624,2150,3331,1587,850,24236,12354,1527,180,18,38,38122,ALABAMA,AL,ESCAMBIA,5489,9380,14869,31.1256789,-87.15918694
31,1055,"Etowah County, Alabama",35375,300,2701,7214,1352,4199,2077,442,1602,2424,9916,3229,2371,104317,50374,53943,6200,6463,6947,7052,6272,12141,13938,14686,7206,6841,9160,5106,2305,86897,16550,952,884,62,577,104317,ALABAMA,AL,ETOWAH,12803,29727,42530,34.04567266,-86.04051873
32,1057,"Fayette County, Alabama",5735,469,239,1708,89,883,413,25,69,351,1481,378,151,17219,8473,8746,950,991,1224,1069,939,1824,1977,2635,1305,1170,1794,1079,262,15164,2078,119,72,0,50,17219,ALABAMA,AL,FAYETTE,6054,1892,7946,33.72076938,-87.73886638
33,1057,"Fayette County, Alabama",5735,469,239,1708,89,883,413,25,69,351,1481,378,151,17219,8473,8746,950,991,1224,1069,939,1824,1977,2635,1305,1170,1794,1079,262,15164,2078,119,72,0,50,17219,ALABAMA,AL,FAYETTE,1817,6129,7946,33.72076938,-87.73886638
34,1059,"Franklin County, Alabama",11445,248,964,4301,423,1428,742,94,476,466,2426,588,457,31664,15547,16117,2243,2324,2059,2000,1984,3912,4274,4507,1924,1704,2728,1562,443,28308,1565,306,75,0,1733,31664,ALABAMA,AL,FRANKLIN,7567,3292,10859,34.44235334,-87.84289505
35,1061,"Geneva County, Alabama",9295,793,1317,1385,623,1405,717,44,252,681,2014,557,746,26769,13024,13745,1549,1426,1911,1690,1456,2995,3353,3988,1969,1722,2686,1506,518,23573,2693,401,30,0,443,26769,ALABAMA,AL,GENEVA,9175,2145,11320,31.09389027,-85.83572839
36,1063,"Greene County, Alabama",2030,52,199,491,51,207,287,0,100,118,458,345,161,9067,4284,4783,551,421,826,837,466,944,894,1307,592,769,708,586,166,1608,7421,25,13,0,0,9067,ALABAMA,AL,GREENE,804,4536,5340,32.85504247,-87.95684022
37,1065,"Hale County, Alabama",4635,494,268,1056,158,617,211,25,193,330,1291,205,344,15750,7489,8261,935,970,1221,1246,915,1752,1775,2436,1314,786,1308,871,221,6314,9346,50,63,14,0,15750,ALABAMA,AL,HALE,3210,5433,8643,32.76039258,-87.63284988
38,1067,"Henry County, Alabama",5795,257,367,1082,218,613,499,66,361,427,1498,381,246,17275,8225,9050,947,1045,1103,1201,898,1681,2232,2408,1274,1360,1791,1021,314,11976,4818,65,349,0,155,17275,ALABAMA,AL,HENRY,3083,5677,8760,31.51148016,-85.24267944
39,1069,"Houston County, Alabama",39905,550,2901,4229,1741,6124,3932,779,1828,3203,10082,4212,2050,101459,48655,52804,6693,7212,6741,6627,5971,12938,13308,14536,7059,5632,8276,4815,1651,72690,27060,951,1090,126,1366,101459,ALABAMA,AL,HOUSTON,12367,29551,41918,31.15197924,-85.29939599
40,1071,"Jackson County, Alabama",19555,674,1594,5601,392,2370,1583,91,999,1137,4382,1419,873,53279,26341,26938,2993,3428,3399,3491,2782,6001,6948,7983,3728,3752,5287,2742,745,50020,2042,1685,246,99,245,53279,ALABAMA,AL,JACKSON,5822,14755,20577,34.78144169,-85.99750489
41,1073,"Jefferson County, Alabama",257140,1893,17738,25293,9929,33351,14947,7661,26133,30975,73552,24339,12392,658464,311658,346806,44222,42091,42319,43880,46421,93756,83565,94387,44562,36304,44944,29165,12848,356736,280160,3928,10717,147,12455,658464,ALABAMA,AL,JEFFERSON,159876,144042,303918,33.55554728,-86.895063
42,1075,"Lamar County, Alabama",5045,93,363,1390,77,601,676,51,201,216,1195,343,183,14513,6993,7520,839,979,853,799,817,1483,1889,2079,1133,920,1554,956,212,12769,1804,31,14,0,9,14513,ALABAMA,AL,LAMAR,1646,5520,7166,33.77995024,-88.09668032
43,1075,"Lamar County, Alabama",5045,93,363,1390,77,601,676,51,201,216,1195,343,183,14513,6993,7520,839,979,853,799,817,1483,1889,2079,1133,920,1554,956,212,12769,1804,31,14,0,9,14513,ALABAMA,AL,LAMAR,5457,1709,7166,33.77995024,-88.09668032
44,1077,"Lauderdale County, Alabama",34650,585,3496,4750,1221,5945,2411,610,1777,2903,8310,3393,1164,92528,44344,48184,5145,5652,5445,6354,7264,10287,11635,13041,6050,6056,8581,5205,1813,81550,9849,795,828,26,483,92528,ALABAMA,AL,LAUDERDALE,23911,13013,36924,34.90171875,-87.65624729
45,1079,"Lawrence County, Alabama",12340,425,1352,3240,411,1535,659,154,357,806,2498,919,575,34148,16696,17452,2107,2387,2048,2235,2097,3795,4719,5258,2468,2108,2990,1523,413,27977,4201,3208,206,14,321,34148,ALABAMA,AL,LAWRENCE,8874,5238,14112,34.52041498,-87.31069453
46,1081,"Lee County, Alabama",54170,686,4169,7518,1117,7831,2271,1229,3561,4854,18240,6132,2744,140938,69643,71295,8485,8899,8613,12923,21632,19473,17690,16802,7107,6428,7706,3723,1457,102876,33329,1440,4417,125,1010,140938,ALABAMA,AL,LEE,32194,22165,54359,32.60154883,-85.35132246
47,1083,"Limestone County, Alabama",31540,581,2814,6359,769,3874,1677,514,1601,4551,6717,2065,2178,83313,42264,41049,5402,5635,5434,5266,4763,11062,12397,12981,5053,5019,6209,2971,1121,69453,11233,924,1145,3,1836,83313,ALABAMA,AL,LIMESTONE,25295,10164,35459,34.81185586,-86.98310072
48,1085,"Lowndes County, Alabama",3065,138,245,942,153,409,198,64,177,233,600,193,275,11304,5284,6020,704,628,912,891,740,1082,1399,1810,873,600,1002,487,176,2896,8365,45,0,0,20,11304,ALABAMA,AL,LOWNDES,5747,1774,7521,32.1597283,-86.65158371
49,1087,"Macon County, Alabama",6295,105,589,827,68,680,248,61,172,504,2860,980,566,21214,9687,11527,1111,927,1402,2291,2568,2003,2278,2795,1465,1339,1654,931,450,3449,17741,127,16,0,28,21214,ALABAMA,AL,MACON,9045,1349,10394,32.38759944,-85.69267724
50,1089,"Madison County, Alabama",142275,1087,8859,21248,2654,16678,4856,4270,6686,27733,30739,13539,14187,334661,164288,170373,20811,22606,21288,24394,24185,44069,44435,53435,20498,17640,23443,13398,4459,239660,84270,5809,10450,632,3672,334661,ALABAMA,AL,MADISON,62015,93044,155059,34.76327133,-86.55069633
51,1091,"Marengo County, Alabama",6550,278,538,1404,175,820,639,23,403,206,1628,610,394,20909,9816,11093,1268,1067,1757,1513,1243,2099,2549,3065,1262,1528,2002,1135,421,9795,11005,71,70,0,128,20909,ALABAMA,AL,MARENGO,6167,5370,11537,32.24767634,-87.78796182
52,1093,"Marion County, Alabama",10105,461,857,2545,270,1307,815,145,419,634,2267,648,729,30641,15138,15503,1747,1716,1893,1897,1698,3213,4023,4524,1876,2309,3358,1813,574,29236,1295,226,176,0,85,30641,ALABAMA,AL,MARION,2249,9856,12105,34.13697363,-87.88704173
53,1093,"Marion County, Alabama",10105,461,857,2545,270,1307,815,145,419,634,2267,648,729,30641,15138,15503,1747,1716,1893,1897,1698,3213,4023,4524,1876,2309,3358,1813,574,29236,1295,226,176,0,85,30641,ALABAMA,AL,MARION,9697,2408,12105,34.13697363,-87.88704173
54,1095,"Marshall County, Alabama",31920,708,3789,8021,1382,4296,1593,838,1337,2850,6803,2454,1965,93070,45911,47159,6764,6344,6304,6483,5598,11498,12079,12848,5986,5308,7954,4227,1677,88429,2016,1326,686,67,1927,93070,ALABAMA,AL,MARSHALL,25867,6699,32566,34.36975964,-86.30486727
55,1097,"Mobile County, Alabama",151180,2466,12970,19390,5591,22291,10312,2865,9446,16276,39690,14570,7042,412297,197997,214300,28231,27791,28962,30066,29539,53661,51213,59223,26496,23423,30326,17180,6186,255013,145681,5575,8849,124,2376,412297,ALABAMA,AL,MOBILE,94893,79971,174864,30.78472347,-88.20842409
56,1099,"Monroe County, Alabama",7190,366,427,1906,235,912,581,92,344,330,1380,541,487,22993,11135,11858,1396,1400,1860,1711,1267,2379,2867,3425,1654,1415,1971,1150,498,12980,9671,395,100,0,94,22993,ALABAMA,AL,MONROE,5741,4967,10708,31.56729412,-87.36995001
57,1101,"Montgomery County, Alabama",88940,532,4635,10179,2384,11891,3675,1437,6419,9779,21560,10259,11905,229376,109021,120355,15939,15494,15508,17220,18847,32655,29397,30922,13434,12380,14784,9292,3504,95749,127332,1639,5483,151,2253,229376,ALABAMA,AL,MONTGOMERY,38332,63592,101924,32.2206831,-86.20969272
58,1103,"Morgan County, Alabama",46725,802,4742,10862,1279,6479,2409,902,2694,5169,8933,3943,1954,119330,58488,60842,7555,8250,7710,7899,7013,15110,16018,17877,7796,7124,9774,5349,1855,100526,15129,2409,932,125,2531,119330,ALABAMA,AL,MORGAN,13439,35884,49323,34.45500589,-86.85475946
59,1105,"Perry County, Alabama",2425,290,194,498,29,313,184,0,143,147,677,121,150,10525,5105,5420,755,592,820,1022,591,1230,925,1547,581,696,999,525,242,3261,7247,8,75,0,10,10525,ALABAMA,AL,PERRY,4568,1531,6099,32.64048341,-87.29770589
60,1107,"Pickens County, Alabama",6005,447,600,1291,250,823,556,50,347,318,1396,274,185,19646,9284,10362,1175,1200,1387,1327,1167,2124,2278,2985,1477,1177,1843,1165,341,11418,8305,91,17,0,25,19646,ALABAMA,AL,PICKENS,4455,5156,9611,33.28094866,-88.08818103
61,1109,"Pike County, Alabama",12250,369,884,2468,291,1607,794,261,517,512,3843,1184,915,32750,15499,17251,1808,2022,1637,3261,4967,3864,3456,3877,1896,1756,2430,1312,464,19689,12361,479,734,0,228,32750,ALABAMA,AL,PIKE,6035,8072,14107,31.80396383,-85.9408295
62,1111,"Randolph County, Alabama",7125,370,552,2135,89,1008,472,132,231,473,1662,453,497,22843,11142,11701,1303,1271,1733,1625,1437,2200,2893,3292,1699,1397,2208,1194,591,17772,4942,265,58,0,74,22843,ALABAMA,AL,RANDOLPH,7224,3174,10398,33.29526734,-85.45708831
63,1111,"Randolph County, Alabama",7125,370,552,2135,89,1008,472,132,231,473,1662,453,497,22843,11142,11701,1303,1271,1733,1625,1437,2200,2893,3292,1699,1397,2208,1194,591,17772,4942,265,58,0,74,22843,ALABAMA,AL,RANDOLPH,3078,7320,10398,33.29526734,-85.45708831
64,1113,"Russell County, Alabama",19490,225,1630,2402,248,2453,816,536,1778,1707,4872,2463,1578,53938,25974,27964,4178,3209,3955,3873,3775,7540,6748,7550,3188,3122,3814,2173,813,30368,23229,552,435,66,460,53938,ALABAMA,AL,RUSSELL,8278,10601,18879,32.28725256,-85.18415324
65,1115,"St. Clair County, Alabama",31305,439,3095,4850,1557,4627,2621,663,2082,3360,6367,1792,1937,83530,41802,41728,5620,5676,5286,5160,4698,11327,11880,12392,5346,5039,6895,3302,909,74919,7656,730,666,19,252,83530,ALABAMA,AL,ST. CLAIR,29031,6117,35148,33.71902176,-86.31029372
66,1117,"Shelby County, Alabama",85030,1016,7276,7290,4033,11386,4597,3522,10914,12069,19434,7588,3642,195237,95447,99790,13039,13926,14438,12863,10595,27052,29877,29162,12939,10276,12785,6298,1987,164277,21829,1378,4448,128,5383,195237,ALABAMA,AL,SHELBY,71436,21071,92507,33.26879845,-86.66232561
67,1119,"Sumter County, Alabama",4030,216,160,514,102,449,388,37,72,356,1514,488,272,13669,6160,7509,778,780,871,1411,1421,1220,1524,1868,933,817,1040,787,219,3369,10174,12,94,4,62,13669,ALABAMA,AL,SUMTER,1586,5441,7027,32.59117397,-88.19916205
68,1121,"Talladega County, Alabama",27180,698,2118,6854,833,3855,1659,399,1258,2059,6129,2290,1876,82194,40050,42144,4895,4804,6043,5710,4920,9946,11217,12113,5769,5089,6794,3595,1299,54668,27179,613,143,58,410,82194,ALABAMA,AL,TALLADEGA,13905,19468,33373,33.37823223,-86.16886178
69,1123,"Tallapoosa County, Alabama",14290,174,1142,3778,276,1659,888,95,701,899,4142,1025,873,41534,20098,21436,2456,2371,2710,2688,2293,4466,5240,6077,2904,3040,4169,2307,813,29738,11587,309,33,0,334,41534,ALABAMA,AL,TALLAPOOSA,6319,12510,18829,32.86698258,-85.79833053
70,1125,"Tuscaloosa County, Alabama",75445,2206,6891,9925,2082,10671,3615,1348,4143,6221,23896,7818,2906,194254,93972,100282,11667,11345,11774,17843,27157,26390,22487,23635,11453,9353,11459,6969,2722,132192,58764,1173,2844,44,833,194254,ALABAMA,AL,TUSCALOOSA,32048,46542,78590,33.28726072,-87.52556818
71,1127,"Walker County, Alabama",21515,1431,2073,2650,586,3727,1873,303,927,1374,5544,1779,952,67016,32559,34457,3929,4301,4134,4251,3982,7497,8691,9920,4220,5120,6412,3455,1104,62522,4362,756,279,118,436,67016,ALABAMA,AL,WALKER,6557,21964,28521,33.80270512,-87.30027177
72,1129,"Washington County, Alabama",5185,391,888,1320,187,611,562,40,166,176,1021,236,230,17407,8695,8712,944,1366,1288,1349,899,1877,2172,2601,1149,1187,1506,786,283,11488,4281,1532,108,40,144,17407,ALABAMA,AL,WASHINGTON,2976,5802,8778,31.4092794,-88.20689944
73,1129,"Washington County, Alabama",5185,391,888,1320,187,611,562,40,166,176,1021,236,230,17407,8695,8712,944,1366,1288,1349,899,1877,2172,2601,1149,1187,1506,786,283,11488,4281,1532,108,40,144,17407,ALABAMA,AL,WASHINGTON,5761,3017,8778,31.4092794,-88.20689944
74,1131,"Wilcox County, Alabama",2160,109,203,437,33,262,240,30,142,53,534,107,283,11706,5595,6111,657,721,1076,996,663,1226,1458,1553,836,743,970,524,283,3147,8555,15,0,0,4,11706,ALABAMA,AL,WILCOX,1679,4872,6551,31.98773215,-87.30891118
75,1133,"Winston County, Alabama",7840,277,580,2103,114,1200,762,66,331,786,1466,587,472,24432,11918,12514,1297,1158,1860,1471,1450,2448,3130,3730,1609,1883,2611,1415,370,24002,232,462,55,0,116,24432,ALABAMA,AL,WINSTON,8312,1402,9714,34.15030532,-87.37325922
76,2013,"Aleutians East Borough, Alaska",260,86,31,2061,51,55,44,4,5,24,108,36,78,3114,2301,813,70,57,85,122,351,559,655,683,296,118,95,19,4,807,422,645,1282,27,34,3114,ALASKA,AK,DISTRICT 13,3078,2629,5707,55.32222414,-161.9722021
77,2020,"Anchorage Municipality, Alaska",123425,5378,10304,2938,4161,16661,11384,3334,8276,15804,32550,13940,16185,291470,147903,143567,21755,19996,20603,20599,25219,45238,39110,44038,19558,13609,13679,6340,1726,217293,24216,36144,29862,7508,6196,291470,ALASKA,AK,DISTRICT 20,4544,3420,7964,61.14998174,-149.1426986
78,4001,"Apache County, Arizona",15075,520,2104,372,104,1508,1307,131,476,578,7020,1874,2342,71618,35672,35946,5921,5777,6670,7141,4565,7762,8119,9453,3907,3867,5278,2382,776,18122,426,52932,328,144,771,71618,ARIZONA,AZ,APACHE,8250,17598,25848,35.39465006,-109.4892383
79,4003,"Cochise County, Arizona",41530,1530,2503,1371,732,5423,2082,658,2146,6526,9688,5192,7284,131118,66837,64281,8416,8101,8165,9280,8351,16478,14933,17132,8487,8955,13448,6885,2487,111217,6977,3388,4165,993,11668,131118,ARIZONA,AZ,COCHISE,29497,19506,49003,31.87934684,-109.7516088
